Urutan Kota yang akan dikunjungi
 City 43
City 22
City 16
City 62
City 47
City 78
City 82
City 93
City 99
City 36
City 37
City 69
City 52
City 86
City 11
City 33
City 50
City 57
City 89
City 23
City 45
City 75
City 3
City 39
City 38
City 24
City 81
City 42
City 80
City 83
City 29
City 85
City 31
City 9
City 73
City 55
City 49
City 27
City 34
City 35
City 54
City 84
City 14
City 40
City 79
City 72
City 67
City 60
City 13
City 19
City 70
City 68
City 61
City 44
City 92
City 18
City 71
City 0
City 6
City 87
City 41
City 25
City 21
City 51
City 28
City 46
City 7
City 15
City 53
City 63
City 94
City 76
City 2
City 32
City 74
City 17
City 58
City 1
City 10
City 26
City 64
City 12
City 90
City 97
City 95
City 65
City 56
City 98
City 30
City 8
City 88
City 77
City 96
City 48
City 20
City 91
City 5
City 59
City 66
City 4
City 43

Distance : 3739
